type,date,title,message
Attendance,2026-09-02,Attendance Notice,Attendance is marked **Absent** for **23BDA-402** on **02 September 2026**. Instructor: **Manpreet Kaur Dhaliwal**.
Attendance,2026-09-02,Attendance Notice,Attendance is marked **Absent** for **SPO-113** on **02 September 2026**. Instructor: **Manpreet Kaur Dhaliwal**.
Attendance,2026-09-02,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **02 September 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-09-01,Attendance Notice,Attendance is marked **Absent** for **23BDA-402** on **01 September 2026**. Instructor: **Manpreet Kaur Dhaliwal**.
Attendance,2026-09-01,Attendance Notice,Attendance is marked **Absent** for **SPO-113** on **01 September 2026**. Instructor: **Manpreet Kaur Dhaliwal**.
Attendance,2026-09-01,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **01 September 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-08-31,Attendance Notice,Attendance is marked **Absent** for **23BDA-402** on **31 August 2026**. Instructor: **Manpreet Kaur Dhaliwal**.
Attendance,2026-08-31,Attendance Notice,Attendance is marked **Absent** for **SPO-113** on **31 August 2026**. Instructor: **Manpreet Kaur Dhaliwal**.
Attendance,2026-08-26,Attendance Notice,Attendance is marked **Absent** for **23BDA-401** on **26 August 2026**. Instructor: **Neha Sethi**.
Attendance,2026-08-26,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **26 August 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-08-25,Attendance Notice,Attendance is marked **Absent** for **23BDA-401** on **25 August 2026**. Instructor: **Neha Sethi**.
Attendance,2026-08-25,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **25 August 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-08-24,Attendance Notice,Attendance is marked **Absent** for **23BDA-401** on **24 August 2026**. Instructor: **Neha Sethi**.
Attendance,2026-08-24,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **24 August 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-08-22,Attendance Notice,Attendance is marked **Absent** for **23BDA-401** on **22 August 2026**. Instructor: **Neha Sethi**.
Attendance,2026-08-21,Attendance Notice,Attendance is marked **Absent** for **23BDA-401** on **21 August 2026**. Instructor: **Neha Sethi**.
Attendance,2026-08-20,Attendance Notice,Attendance is marked **Absent** for **23BDA-401** on **20 August 2026**. Instructor: **Neha Sethi**.
Attendance,2026-08-15,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **15 August 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-08-14,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **14 August 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-07-27,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **27 July 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-07-25,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **25 July 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-07-24,Attendance Notice,Attendance is marked **Absent** for **23CSR-449** on **24 July 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-07-06,Attendance Notice,Attendance is marked **Absent** for **23BDA-403** on **06 July 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-07-04,Attendance Notice,Attendance is marked **Absent** for **23BDA-403** on **04 July 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-07-03,Attendance Notice,Attendance is marked **Absent** for **23BDA-403** on **03 July 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-07-02,Attendance Notice,Attendance is marked **Absent** for **23BDA-403** on **02 July 2026**. Instructor: **Anshuman Sharma**.
Attendance,2026-07-01,Attendance Notice,Attendance is marked **Absent** for **23BDA-403** on **01 July 2026**. Instructor: **Anshuman Sharma**.
